"from","to","relation","date"
"92026678446","76848680783","SIBLING","1974-07-27"
"76848680783","92026678446","SIBLING","1974-07-27"
"65419329033","12086751755","SIBLING","2000-04-26"
"12086751755","65419329033","SIBLING","2000-04-26"
"41212992400","83380079990","SIBLING","2009-09-02"
"83380079990","41212992400","SIBLING","2009-09-02"
"83136072444","33895476000","SIBLING","1971-03-30"
"33895476000","83136072444","SIBLING","1971-03-30"
"96115334280","26534845276","SPOUSE","1983-08-06"
"26534845276","96115334280","SPOUSE","1983-08-06"
"79713959863","22867186000","SIBLING","2012-04-09"
"22867186000","79713959863","SIBLING","2012-04-09"
"47522966325","58087501521","SPOUSE","1995-04-05"
"58087501521","47522966325","SPOUSE","1995-04-05"
"99622976061","64967006510","SPOUSE","2010-11-18"
"64967006510","99622976061","SPOUSE","2010-11-18"
"37243753151","17400340229","SPOUSE","1975-08-30"
"17400340229","37243753151","SPOUSE","1975-08-30"
"15481155547","57460962922","SPOUSE","1989-07-24"
"57460962922","15481155547","SPOUSE","1989-07-24"
"10232370305","50437645870","PARENT","1983-01-05"
"50437645870","10232370305","OFFSPRING","1983-01-05"
"79170316398","30802172707","SPOUSE","2016-05-06"
"30802172707","79170316398","SPOUSE","2016-05-06"
"99100813617","22473469083","PARENT","1985-11-30"
"22473469083","99100813617","OFFSPRING","1985-11-30"
"82802495631","51764506930","PARENT","1981-08-07"
"51764506930","82802495631","OFFSPRING","1981-08-07"
"71660516679","49028431009","SPOUSE","2006-06-27"
"49028431009","71660516679","SPOUSE","2006-06-27"
"86398967158","88268017444","SPOUSE","2007-11-30"
"88268017444","86398967158","SPOUSE","2007-11-30"
"66720988220","35136446157","SIBLING","1999-03-17"
"35136446157","66720988220","SIBLING","1999-03-17"
"63621695872","36861739471","SPOUSE","1983-10-27"
"36861739471","63621695872","SPOUSE","1983-10-27"
"96115334280","84620036684","PARENT","2005-06-10"
"84620036684","96115334280","OFFSPRING","2005-06-10"
"31740261657","59900584791","PARENT","1971-08-06"
"59900584791","31740261657","OFFSPRING","1971-08-06"
"84939489446","34055374950","SIBLING","2019-09-28"
"34055374950","84939489446","SIBLING","2019-09-28"
"79567899103","47978366551","SIBLING","1989-01-13"
"47978366551","79567899103","SIBLING","1989-01-13"
"13858281898","97046137686","PARENT","1985-08-11"
"97046137686","13858281898","OFFSPRING","1985-08-11"
"22286594465","73511713680","SPOUSE","2012-02-16"
"73511713680","22286594465","SPOUSE","2012-02-16"
"21245181066","72146023714","PARENT","2003-02-27"
"72146023714","21245181066","OFFSPRING","2003-02-27"
"93100832583","52315392802","PARENT","1988-03-07"
"52315392802","93100832583","OFFSPRING","1988-03-07"
"62175498539","73718920091","SPOUSE","2019-12-21"
"73718920091","62175498539","SPOUSE","2019-12-21"
"55926482057","68368562880","PARENT","1987-05-07"
"68368562880","55926482057","OFFSPRING","1987-05-07"
"69338486941","90263944323","SIBLING","2006-08-27"
"90263944323","69338486941","SIBLING","2006-08-27"
"64174823862","83646918422","PARENT","1976-03-22"
"83646918422","64174823862","OFFSPRING","1976-03-22"
"22014017798","29556555447","SPOUSE","1988-10-12"
"29556555447","22014017798","SPOUSE","1988-10-12"
"99374205244","15225461333","SIBLING","1997-05-02"
"15225461333","99374205244","SIBLING","1997-05-02"
"99622976061","15669449704","SIBLING","1988-10-07"
"15669449704","99622976061","SIBLING","1988-10-07"
"28668596665","43663539345","SPOUSE","1975-01-31"
"43663539345","28668596665","SPOUSE","1975-01-31"
"13784008534","11414347560","SIBLING","1990-11-17"
"11414347560","13784008534","SIBLING","1990-11-17"
"31603151078","61549179270","SPOUSE","1981-06-04"
"61549179270","31603151078","SPOUSE","1981-06-04"
"88297572265","74071798130","SIBLING","1975-04-29"
"74071798130","88297572265","SIBLING","1975-04-29"
"29600509360","61491121089","SPOUSE","2015-10-30"
"61491121089","29600509360","SPOUSE","2015-10-30"
"56297518086","63398791740","SPOUSE","1994-06-04"
"63398791740","56297518086","SPOUSE","1994-06-04"
"46401528085","22841364851","PARENT","2007-01-29"
"22841364851","46401528085","OFFSPRING","2007-01-29"
"56244930383","59883595279","SPOUSE","2002-01-25"
"59883595279","56244930383","SPOUSE","2002-01-25"
"62739461093","97315430442","PARENT","1989-03-10"
"97315430442","62739461093","OFFSPRING","1989-03-10"
"45417403732","24000477068","SPOUSE","1994-04-20"
"24000477068","45417403732","SPOUSE","1994-04-20"
"61299999424","42631910167","PARENT","2000-06-17"
"42631910167","61299999424","OFFSPRING","2000-06-17"
"52201961948","42735894644","SIBLING","1970-09-11"
"42735894644","52201961948","SIBLING","1970-09-11"
"27439401188","97029084885","SPOUSE","2018-01-25"
"97029084885","27439401188","SPOUSE","2018-01-25"
"16408625586","92191917722","PARENT","2018-02-21"
"92191917722","16408625586","OFFSPRING","2018-02-21"
"76172609915","77511986268","PARENT","1985-03-03"
"77511986268","76172609915","OFFSPRING","1985-03-03"
"49468266455","94459149228","PARENT","2009-07-03"
"94459149228","49468266455","OFFSPRING","2009-07-03"
"11414347560","98286109270","SPOUSE","1974-04-04"
"98286109270","11414347560","SPOUSE","1974-04-04"
"19995139006","50442073570","SPOUSE","1972-08-04"
"50442073570","19995139006","SPOUSE","1972-08-04"
"89678604239","96642616088","SIBLING","1989-01-10"
"96642616088","89678604239","SIBLING","1989-01-10"
"97938652535","11653243895","SPOUSE","2004-03-07"
"11653243895","97938652535","SPOUSE","2004-03-07"
"72733346624","38685133628","SIBLING","1989-12-04"
"38685133628","72733346624","SIBLING","1989-12-04"
"15225461333","79408838303","SPOUSE","1985-07-04"
"79408838303","15225461333","SPOUSE","1985-07-04"
"50968327706","67130867732","SIBLING","1977-07-20"
"67130867732","50968327706","SIBLING","1977-07-20"
"17836155225","79167413034","SPOUSE","1996-12-02"
"79167413034","17836155225","SPOUSE","1996-12-02"
"31336222297","84584074373","PARENT","2010-06-16"
"84584074373","31336222297","OFFSPRING","2010-06-16"
"75586602507","17523804077","SIBLING","1993-12-14"
"17523804077","75586602507","SIBLING","1993-12-14"
"51452033547","34405622719","SPOUSE","1978-10-15"
"34405622719","51452033547","SPOUSE","1978-10-15"
"37041238811","40629863258","PARENT","2008-08-19"
"40629863258","37041238811","OFFSPRING","2008-08-19"
"35088714603","26294746708","SIBLING","1978-11-22"
"26294746708","35088714603","SIBLING","1978-11-22"
"18149094476","56547924608","PARENT","2007-10-05"
"56547924608","18149094476","OFFSPRING","2007-10-05"
"47342568132","95861094356","SIBLING","2018-08-15"
"95861094356","47342568132","SIBLING","2018-08-15"
"68396904618","20399226042","SIBLING","2005-08-28"
"20399226042","68396904618","SIBLING","2005-08-28"
"58934142006","68499646326","SIBLING","2003-07-24"
"68499646326","58934142006","SIBLING","2003-07-24"
"71266552977","29621325280","SPOUSE","1985-03-30"
"29621325280","71266552977","SPOUSE","1985-03-30"
"86708841452","82112222315","SPOUSE","1980-03-11"
"82112222315","86708841452","SPOUSE","1980-03-11"
"61491121089","63061059486","SIBLING","1980-04-29"
"63061059486","61491121089","SIBLING","1980-04-29"
"18092265411","72553191720","SPOUSE","2015-11-27"
"72553191720","18092265411","SPOUSE","2015-11-27"
"46283160073","23688108740","SIBLING","1973-02-25"
"23688108740","46283160073","SIBLING","1973-02-25"
"50849240093","21945447729","SPOUSE","1972-07-09"
"21945447729","50849240093","SPOUSE","1972-07-09"
"60982934276","38602700751","SIBLING","1973-02-20"
"38602700751","60982934276","SIBLING","1973-02-20"
"31606240448","54455789504","PARENT","2014-06-26"
"54455789504","31606240448","OFFSPRING","2014-06-26"
"33013939184","97726357062","PARENT","1992-06-15"
"97726357062","33013939184","OFFSPRING","1992-06-15"
"64975161641","10657324089","SPOUSE","2014-07-18"
"10657324089","64975161641","SPOUSE","2014-07-18"
"42070697531","75980779239","SPOUSE","2004-09-17"
"75980779239","42070697531","SPOUSE","2004-09-17"
"66483842372","43623645065","SIBLING","1976-03-28"
"43623645065","66483842372","SIBLING","1976-03-28"
"23855414007","42258903679","SIBLING","1975-11-22"
"42258903679","23855414007","SIBLING","1975-11-22"
"53526651875","47720139494","SPOUSE","1989-07-27"
"47720139494","53526651875","SPOUSE","1989-07-27"
"68981680241","14462098109","SIBLING","2018-10-20"
"14462098109","68981680241","SIBLING","2018-10-20"
"36201024304","41381484735","SPOUSE","1973-03-11"
"41381484735","36201024304","SPOUSE","1973-03-11"
"83238862731","74674561869","SPOUSE","2005-12-29"
"74674561869","83238862731","SPOUSE","2005-12-29"
"72338558961","25220799931","SIBLING","2015-11-02"
"25220799931","72338558961","SIBLING","2015-11-02"
"22779102514","71024741799","PARENT","2005-05-03"
"71024741799","22779102514","OFFSPRING","2005-05-03"
"24266767788","94618677046","SIBLING","1989-09-27"
"94618677046","24266767788","SIBLING","1989-09-27"
"67313208672","40683172391","PARENT","1994-08-04"
"40683172391","67313208672","OFFSPRING","1994-08-04"
"91641767768","28376069279","SIBLING","1990-04-04"
"28376069279","91641767768","SIBLING","1990-04-04"
"22407757400","56806832519","SIBLING","1973-05-25"
"56806832519","22407757400","SIBLING","1973-05-25"
"44324970409","41314823581","SIBLING","1972-07-06"
"41314823581","44324970409","SIBLING","1972-07-06"
"28889729660","95619838499","SPOUSE","1991-02-14"
"95619838499","28889729660","SPOUSE","1991-02-14"
"33786701871","80297582095","PARENT","1992-11-16"
"80297582095","33786701871","OFFSPRING","1992-11-16"
"47329130401","13240523001","PARENT","1972-06-06"
"13240523001","47329130401","OFFSPRING","1972-06-06"
"56262928779","73342139258","SPOUSE","2004-11-18"
"73342139258","56262928779","SPOUSE","2004-11-18"
"72681250479","13125366734","SIBLING","1988-01-28"
"13125366734","72681250479","SIBLING","1988-01-28"
"17737440650","44966517346","SIBLING","1994-05-24"
"44966517346","17737440650","SIBLING","1994-05-24"
"57013045163","67922103582","SIBLING","2002-09-21"
"67922103582","57013045163","SIBLING","2002-09-21"
"60864773322","97046137686","PARENT","2016-05-03"
"97046137686","60864773322","OFFSPRING","2016-05-03"
"84625324679","13560855037","PARENT","2015-01-18"
"13560855037","84625324679","OFFSPRING","2015-01-18"
"49366028526","81553708908","SIBLING","1990-02-05"
"81553708908","49366028526","SIBLING","1990-02-05"
"94523699860","12222817330","SPOUSE","1973-08-29"
"12222817330","94523699860","SPOUSE","1973-08-29"
"20116522618","47509341400","PARENT","1986-09-16"
"47509341400","20116522618","OFFSPRING","1986-09-16"
"42051321657","73971962266","SIBLING","2015-08-03"
"73971962266","42051321657","SIBLING","2015-08-03"
"57044906593","93342117913","PARENT","2007-09-02"
"93342117913","57044906593","OFFSPRING","2007-09-02"
"51480198998","64667884361","SPOUSE","1999-07-06"
"64667884361","51480198998","SPOUSE","1999-07-06"
"86038495808","11986502830","SIBLING","2004-03-24"
"11986502830","86038495808","SIBLING","2004-03-24"
"71113976545","36003003168","PARENT","1990-02-28"
"36003003168","71113976545","OFFSPRING","1990-02-28"
"32977666268","68386128720","PARENT","2005-05-03"
"68386128720","32977666268","OFFSPRING","2005-05-03"
"17569744863","31894934988","SPOUSE","2002-05-20"
"31894934988","17569744863","SPOUSE","2002-05-20"
"88434424367","88252706750","SPOUSE","2001-04-30"
"88252706750","88434424367","SPOUSE","2001-04-30"
"62548576482","90269660644","PARENT","1997-01-17"
"90269660644","62548576482","OFFSPRING","1997-01-17"
"41585572005","56602973211","PARENT","1988-11-04"
"56602973211","41585572005","OFFSPRING","1988-11-04"
"51672753392","40648373178","SPOUSE","1976-07-25"
"40648373178","51672753392","SPOUSE","1976-07-25"
"89977533381","43113800481","SIBLING","1985-06-07"
"43113800481","89977533381","SIBLING","1985-06-07"
"32623585982","67557923058","PARENT","1998-09-02"
"67557923058","32623585982","OFFSPRING","1998-09-02"
"20407619821","45962554237","PARENT","2012-11-25"
"45962554237","20407619821","OFFSPRING","2012-11-25"
"13958325642","71649178957","SPOUSE","1993-09-15"
"71649178957","13958325642","SPOUSE","1993-09-15"
"17391505226","37983067042","SIBLING","2016-07-01"
"37983067042","17391505226","SIBLING","2016-07-01"
"83234545447","62766692049","PARENT","2015-03-03"
"62766692049","83234545447","OFFSPRING","2015-03-03"
"61807363466","55576007143","SPOUSE","1989-12-22"
"55576007143","61807363466","SPOUSE","1989-12-22"
"46195422853","27465866974","PARENT","2000-05-30"
"27465866974","46195422853","OFFSPRING","2000-05-30"
"96755192779","20399226042","PARENT","1997-02-22"
"20399226042","96755192779","OFFSPRING","1997-02-22"
"22382598263","70428027558","PARENT","2018-06-20"
"70428027558","22382598263","OFFSPRING","2018-06-20"
"87921554217","90946130507","SPOUSE","2002-12-27"
"90946130507","87921554217","SPOUSE","2002-12-27"
"39924376304","18707511860","SPOUSE","1995-02-03"
"18707511860","39924376304","SPOUSE","1995-02-03"
"98717507764","36142134957","SIBLING","1974-10-04"
"36142134957","98717507764","SIBLING","1974-10-04"
"35414596335","60836503328","SPOUSE","1985-09-09"
"60836503328","35414596335","SPOUSE","1985-09-09"
"90562335395","57495277319","SPOUSE","1997-12-19"
"57495277319","90562335395","SPOUSE","1997-12-19"
"40262003462","71137267764","SIBLING","1993-02-08"
"71137267764","40262003462","SIBLING","1993-02-08"
"16471955671","76335064760","SIBLING","2015-08-13"
"76335064760","16471955671","SIBLING","2015-08-13"
"38767995655","59292544981","SIBLING","1987-12-07"
"59292544981","38767995655","SIBLING","1987-12-07"
"83231636913","86597589551","SPOUSE","1992-04-03"
"86597589551","83231636913","SPOUSE","1992-04-03"
"47502085508","72957099597","PARENT","1972-07-12"
"72957099597","47502085508","OFFSPRING","1972-07-12"
"57117409622","24335621792","SPOUSE","1979-01-30"
"24335621792","57117409622","SPOUSE","1979-01-30"
"95238551036","52409333286","SPOUSE","1991-04-22"
"52409333286","95238551036","SPOUSE","1991-04-22"
"89248351326","46568520572","SIBLING","2012-09-05"
"46568520572","89248351326","SIBLING","2012-09-05"
"19919905659","29933896335","SIBLING","2004-10-04"
"29933896335","19919905659","SIBLING","2004-10-04"
"72489425823","42826212570","SIBLING","2019-02-14"
"42826212570","72489425823","SIBLING","2019-02-14"
"50500228163","26807753801","SPOUSE","1975-02-02"
"26807753801","50500228163","SPOUSE","1975-02-02"
"77545833280","78174196846","PARENT","1979-11-21"
"78174196846","77545833280","OFFSPRING","1979-11-21"
"10255109820","97896784968","PARENT","1984-01-21"
"97896784968","10255109820","OFFSPRING","1984-01-21"
"92733327204","90562706215","SPOUSE","1993-05-26"
"90562706215","92733327204","SPOUSE","1993-05-26"
"96519086578","68626203628","SPOUSE","1986-10-11"
"68626203628","96519086578","SPOUSE","1986-10-11"
"33335014943","92022343206","PARENT","2006-04-08"
"92022343206","33335014943","OFFSPRING","2006-04-08"
"97753946715","43411177540","SIBLING","1984-04-07"
"43411177540","97753946715","SIBLING","1984-04-07"
"20318356285","42410571984","SIBLING","1994-07-19"
"42410571984","20318356285","SIBLING","1994-07-19"
"41254226416","18092265411","SPOUSE","1981-09-16"
"18092265411","41254226416","SPOUSE","1981-09-16"
"91852458508","57939246282","PARENT","1981-12-05"
"57939246282","91852458508","OFFSPRING","1981-12-05"
"32797194225","43240805627","SPOUSE","1991-05-07"
"43240805627","32797194225","SPOUSE","1991-05-07"
"34627115515","66403896013","PARENT","1999-03-15"
"66403896013","34627115515","OFFSPRING","1999-03-15"
"19901046478","15131458022","SIBLING","2002-07-27"
"15131458022","19901046478","SIBLING","2002-07-27"
"51955740396","43711939075","SPOUSE","1999-06-02"
"43711939075","51955740396","SPOUSE","1999-06-02"
"16034881468","64906384142","SIBLING","2012-04-22"
"64906384142","16034881468","SIBLING","2012-04-22"
"20243075748","67260067941","PARENT","2009-07-19"
"67260067941","20243075748","OFFSPRING","2009-07-19"
"75722064735","33307404021","SIBLING","1993-01-15"
"33307404021","75722064735","SIBLING","1993-01-15"
"93932151545","96941563094","SIBLING","1994-08-01"
"96941563094","93932151545","SIBLING","1994-08-01"
"44407377014","21759622980","SIBLING","1993-09-05"
"21759622980","44407377014","SIBLING","1993-09-05"
"72239167780","96638178281","SIBLING","2014-01-21"
"96638178281","72239167780","SIBLING","2014-01-21"
"81320818442","59282565539","SPOUSE","2007-06-06"
"59282565539","81320818442","SPOUSE","2007-06-06"
"41657147958","94781503104","SIBLING","2008-07-15"
"94781503104","41657147958","SIBLING","2008-07-15"
"88339304433","48135727719","PARENT","1993-01-20"
"48135727719","88339304433","OFFSPRING","1993-01-20"
"12007535920","40881551997","PARENT","1971-11-13"
"40881551997","12007535920","OFFSPRING","1971-11-13"
"94813068662","73606937643","PARENT","2002-10-06"
"73606937643","94813068662","OFFSPRING","2002-10-06"
"81394212174","21105232677","SPOUSE","2007-02-21"
"21105232677","81394212174","SPOUSE","2007-02-21"
"23312503004","37909408189","PARENT","2013-07-13"
"37909408189","23312503004","OFFSPRING","2013-07-13"
"96115334280","99849005598","SPOUSE","2002-11-28"
"99849005598","96115334280","SPOUSE","2002-11-28"
"39852457367","29356037314","PARENT","1992-07-25"
"29356037314","39852457367","OFFSPRING","1992-07-25"
"44693523070","82285361862","SIBLING","1985-01-13"
"82285361862","44693523070","SIBLING","1985-01-13"
"79797761273","47231466974","PARENT","1989-12-17"
"47231466974","79797761273","OFFSPRING","1989-12-17"
"79628182174","13858281898","SPOUSE","2000-02-07"
"13858281898","79628182174","SPOUSE","2000-02-07"
"36142134957","21848200640","SIBLING","1971-04-08"
"21848200640","36142134957","SIBLING","1971-04-08"
"76177820737","47955135304","SIBLING","1999-02-10"
"47955135304","76177820737","SIBLING","1999-02-10"
"82649889824","69965106296","PARENT","1977-10-27"
"69965106296","82649889824","OFFSPRING","1977-10-27"
"41084994103","95569797142","SIBLING","2014-09-17"
"95569797142","41084994103","SIBLING","2014-09-17"
"45816454843","41657147958","PARENT","1994-04-12"
"41657147958","45816454843","OFFSPRING","1994-04-12"
"94248453253","79167413034","SPOUSE","2011-08-07"
"79167413034","94248453253","SPOUSE","2011-08-07"
"66305274300","72174721687","SPOUSE","1981-09-11"
"72174721687","66305274300","SPOUSE","1981-09-11"
"28485330436","63136541780","SIBLING","1998-05-21"
"63136541780","28485330436","SIBLING","1998-05-21"
"51943001673","42410571984","SIBLING","1982-06-12"
"42410571984","51943001673","SIBLING","1982-06-12"
"60397808205","17472842122","SPOUSE","1984-12-10"
"17472842122","60397808205","SPOUSE","1984-12-10"
"40187868866","94781503104","SPOUSE","1972-10-24"
"94781503104","40187868866","SPOUSE","1972-10-24"
"24423750476","91180595645","SIBLING","2009-04-24"
"91180595645","24423750476","SIBLING","2009-04-24"
"60945870624","79066738510","PARENT","1983-05-03"
"79066738510","60945870624","OFFSPRING","1983-05-03"
"44875306844","76745501338","PARENT","2012-07-29"
"76745501338","44875306844","OFFSPRING","2012-07-29"
"41171655857","57938133735","SPOUSE","1974-08-17"
"57938133735","41171655857","SPOUSE","1974-08-17"
"84450050878","87608255236","PARENT","1981-04-11"
"87608255236","84450050878","OFFSPRING","1981-04-11"
"80935698472","40305104702","SPOUSE","1983-03-07"
"40305104702","80935698472","SPOUSE","1983-03-07"
"49990175216","57939246282","PARENT","2005-06-13"
"57939246282","49990175216","OFFSPRING","2005-06-13"
"82989553099","69878226371","SIBLING","1978-01-13"
"69878226371","82989553099","SIBLING","1978-01-13"
"47575741694","54074980976","SIBLING","1976-08-12"
"54074980976","47575741694","SIBLING","1976-08-12"
"61298631831","66849124388","PARENT","1976-07-07"
"66849124388","61298631831","OFFSPRING","1976-07-07"
"50789923791","62898568187","PARENT","2011-03-31"
"62898568187","50789923791","OFFSPRING","2011-03-31"
"54268035493","26721423544","SIBLING","2014-12-20"
"26721423544","54268035493","SIBLING","2014-12-20"
"94618677046","82898891922","SIBLING","2015-09-02"
"82898891922","94618677046","SIBLING","2015-09-02"
"67528217793","45693090487","SPOUSE","2019-01-14"
"45693090487","67528217793","SPOUSE","2019-01-14"
"77405891477","20399226042","PARENT","2001-06-05"
"20399226042","77405891477","OFFSPRING","2001-06-05"
"65078123482","11009880285","SPOUSE","2009-12-11"
"11009880285","65078123482","SPOUSE","2009-12-11"
"36284611298","62239543380","SIBLING","2014-11-16"
"62239543380","36284611298","SIBLING","2014-11-16"
"25731343761","89904553296","SPOUSE","1989-05-30"
"89904553296","25731343761","SPOUSE","1989-05-30"
"31195990258","31945031833","SIBLING","1991-08-04"
"31945031833","31195990258","SIBLING","1991-08-04"
"60864773322","12693640021","PARENT","1974-11-19"
"12693640021","60864773322","OFFSPRING","1974-11-19"
"30866442199","54896738070","PARENT","2013-09-22"
"54896738070","30866442199","OFFSPRING","2013-09-22"
"66757641347","51228619650","SPOUSE","1975-08-08"
"51228619650","66757641347","SPOUSE","1975-08-08"
"58522783258","51360285999","PARENT","1984-05-18"
"51360285999","58522783258","OFFSPRING","1984-05-18"
"68085747793","76832389203","SPOUSE","1982-02-11"
"76832389203","68085747793","SPOUSE","1982-02-11"
"72100536584","76561362045","SIBLING","2006-02-23"
"76561362045","72100536584","SIBLING","2006-02-23"
"36244944491","63675325682","PARENT","1990-05-27"
"63675325682","36244944491","OFFSPRING","1990-05-27"
"25362833369","48774012400","SIBLING","1975-01-28"
"48774012400","25362833369","SIBLING","1975-01-28"
"43909402040","12022588730","SIBLING","2007-11-07"
"12022588730","43909402040","SIBLING","2007-11-07"
"50211636409","61083352394","PARENT","1976-01-29"
"61083352394","50211636409","OFFSPRING","1976-01-29"
"26049954955","91180595645","PARENT","1988-04-09"
"91180595645","26049954955","OFFSPRING","1988-04-09"
"62722354461","78187113188","SIBLING","1992-03-27"
"78187113188","62722354461","SIBLING","1992-03-27"
"93702786835","69570126886","PARENT","1977-12-07"
"69570126886","93702786835","OFFSPRING","1977-12-07"
"50512623205","77511986268","SPOUSE","2009-12-07"
"77511986268","50512623205","SPOUSE","2009-12-07"
"53620546545","12152816480","SIBLING","1983-04-28"
"12152816480","53620546545","SIBLING","1983-04-28"
"26294746708","26225005601","PARENT","1998-11-15"
"26225005601","26294746708","OFFSPRING","1998-11-15"
"58632441693","26544675728","SPOUSE","2006-06-20"
"26544675728","58632441693","SPOUSE","2006-06-20"
"56918224750","61549179270","SPOUSE","2008-03-10"
"61549179270","56918224750","SPOUSE","2008-03-10"
"50951311161","67146475381","SIBLING","1970-07-02"
"67146475381","50951311161","SIBLING","1970-07-02"
"42839633656","96510170877","PARENT","2003-04-17"
"96510170877","42839633656","OFFSPRING","2003-04-17"
"66690641739","24888540112","SPOUSE","2000-03-25"
"24888540112","66690641739","SPOUSE","2000-03-25"
"44108335160","27693818665","SPOUSE","2000-04-04"
"27693818665","44108335160","SPOUSE","2000-04-04"
"90454143402","79713959863","SPOUSE","1986-05-08"
"79713959863","90454143402","SPOUSE","1986-05-08"
"24704703507","13183362250","PARENT","2002-02-27"
"13183362250","24704703507","OFFSPRING","2002-02-27"
"23940255628","47163433461","SPOUSE","1978-03-27"
"47163433461","23940255628","SPOUSE","1978-03-27"
"59395409787","64072049803","SPOUSE","1975-05-04"
"64072049803","59395409787","SPOUSE","1975-05-04"
"54455789504","57959029422","PARENT","1998-09-27"
"57959029422","54455789504","OFFSPRING","1998-09-27"
"70951077483","58438923378","SPOUSE","2019-11-11"
"58438923378","70951077483","SPOUSE","2019-11-11"
"26294746708","23533436939","PARENT","2015-07-28"
"23533436939","26294746708","OFFSPRING","2015-07-28"
"82696313356","98775860027","SPOUSE","2007-09-23"
"98775860027","82696313356","SPOUSE","2007-09-23"
"13052795330","17921998431","PARENT","1970-06-02"
"17921998431","13052795330","OFFSPRING","1970-06-02"
"45937489689","48358086198","SPOUSE","2012-09-20"
"48358086198","45937489689","SPOUSE","2012-09-20"
"25361198242","95899723249","SPOUSE","1998-08-21"
"95899723249","25361198242","SPOUSE","1998-08-21"
"59590426613","53963841480","PARENT","2011-11-19"
"53963841480","59590426613","OFFSPRING","2011-11-19"
"11566180411","79909233885","SPOUSE","2006-10-27"
"79909233885","11566180411","SPOUSE","2006-10-27"
"51535588830","10158136656","SPOUSE","1985-01-27"
"10158136656","51535588830","SPOUSE","1985-01-27"
"96155570889","59573828671","PARENT","2003-08-30"
"59573828671","96155570889","OFFSPRING","2003-08-30"
"46040852588","68101158333","SIBLING","2015-11-04"
"68101158333","46040852588","SIBLING","2015-11-04"
"82697471630","68474551800","SIBLING","1992-11-16"
"68474551800","82697471630","SIBLING","1992-11-16"
"49013344937","35159200771","SPOUSE","2003-06-21"
"35159200771","49013344937","SPOUSE","2003-06-21"
"63989578631","77567046326","PARENT","1972-11-21"
"77567046326","63989578631","OFFSPRING","1972-11-21"
"48082280350","89146818497","SPOUSE","1972-08-19"
"89146818497","48082280350","SPOUSE","1972-08-19"
"33013939184","98185746695","SIBLING","2005-06-02"
"98185746695","33013939184","SIBLING","2005-06-02"
"59730444689","94904219038","SPOUSE","1990-07-25"
"94904219038","59730444689","SPOUSE","1990-07-25"
"38065705677","70848129158","PARENT","1992-04-27"
"70848129158","38065705677","OFFSPRING","1992-04-27"
"14090503374","46879789491","SIBLING","1986-10-05"
"46879789491","14090503374","SIBLING","1986-10-05"
