"from","to","transaction_id","date","amount"
"588760","518150","642805","1975-12-25","447121000"
"511125","243002","464345","1980-08-02","422050000"
"371724","190682","233935","1999-03-11","533385000"
"681494","676868","723084","2012-10-20","761622000"
"201708","680147","742499","2001-01-04","391751000"
"631478","224027","421797","1992-06-18","392033000"
"887169","802792","330363","2012-05-26","368304000"
"796589","527057","888228","2009-05-16","20034000"
"989565","536517","557036","2007-03-14","92632000"
"464118","645474","775409","2007-12-25","454284000"
"879964","816173","762996","1975-05-15","500123000"
"876477","827244","383542","2009-02-04","932918000"
"833725","644821","524306","1987-10-03","953372000"
"776743","568638","890236","2005-04-19","535881000"
"902806","226020","330762","1993-04-30","191111000"
"285677","953158","498583","2002-03-28","209837000"
"219054","246952","706532","1995-11-11","827665000"
"152957","668608","955913","2002-12-10","175058000"
"466032","287787","115880","2013-05-07","818890000"
"965316","844887","351781","1986-12-29","442196000"
"939449","145499","790208","1992-11-30","825236000"
"587617","787835","827578","1981-01-22","217270000"
"748994","487164","330353","2017-04-21","866737000"
"575345","999435","411237","1985-12-07","840583000"
"114426","951444","810960","1977-04-24","678067000"
"442539","999146","720153","1980-08-17","393668000"
"566336","688778","867485","1987-04-07","803456000"
"751569","560921","156077","2009-05-08","407207000"
"414488","757322","266714","2000-07-05","102621000"
"376933","148998","222226","2003-01-24","558274000"
"962476","155416","203033","2011-12-10","703315000"
"214347","709474","247295","1999-01-27","573853000"
"731446","501027","431532","2007-06-19","506538000"
"281221","915148","979457","2001-01-19","823670000"
"170645","492666","465146","2014-03-15","375453000"
"731680","798805","742168","2013-11-10","548893000"
"898042","467789","702911","1980-02-08","15570000"
"515236","885069","770393","1982-02-23","576993000"
"415750","661682","423078","1987-05-15","40459000"
"298003","215583","941458","2012-08-26","292530000"
"720078","933186","611520","2017-09-10","266926000"
"419050","466032","472443","2013-05-02","965426000"
"975685","544476","227319","1981-05-04","829537000"
"155791","106501","234677","2010-09-18","702410000"
"742365","122923","108418","2001-12-26","222760000"
"616623","880453","209017","1987-05-05","513938000"
"422431","680827","213069","2016-12-17","412915000"
"463191","914780","221453","2001-03-18","1990000"
"238827","587928","392212","2007-08-03","82573000"
"910401","715185","986100","1993-04-07","781756000"
"666444","884489","375856","1992-03-21","728058000"
"220447","721464","259510","1986-01-10","92936000"
"228308","243002","827789","1997-06-10","828261000"
"767116","923869","699442","2019-10-23","687537000"
"755149","508592","750495","1974-12-19","412535000"
"909247","267551","236051","2011-06-04","604289000"
"548856","282878","907646","1986-03-05","5989000"
"819204","129407","878584","2009-05-26","658131000"
"977578","699294","623260","2014-09-14","784954000"
"243002","772882","142882","2007-06-06","361715000"
"829318","201108","611547","2015-09-18","796033000"
"663948","621197","689415","1979-01-11","297890000"
"214518","630452","852747","1972-01-05","865295000"
"314002","744911","957349","1977-10-27","426284000"
"568137","762223","518676","2011-07-11","87908000"
"234626","698103","343768","1981-02-18","239456000"
"570973","764329","907301","1997-02-19","689860000"
"338113","547460","435360","2019-12-13","801934000"
"515536","802346","694595","2002-12-21","292111000"
"130549","874590","654684","2016-06-02","708080000"
"549527","504199","970553","2002-11-03","28969000"
"943334","607992","216387","2009-12-27","204336000"
"815134","612186","302298","1995-10-06","435653000"
"460490","425147","316402","2006-01-17","308760000"
"495111","303501","137663","1981-10-11","137971000"
"526553","712371","193414","1994-08-07","572514000"
"468133","539486","495664","1990-07-08","908501000"
"652171","938148","963420","2011-02-04","300753000"
"480977","977246","755643","1991-01-28","776064000"
"383739","399751","970079","2009-10-11","348507000"
"724126","383921","628620","2001-03-28","761525000"
"322708","830737","190953","1970-07-01","200694000"
"460334","855883","626252","1994-10-23","589636000"
"228759","493119","638572","2009-11-02","695594000"
"334142","714387","151121","1977-02-21","475169000"
"708122","685238","400945","1988-04-04","842763000"
"642584","499574","740414","1974-05-27","182607000"
"479854","259683","988958","2000-11-06","783458000"
"851379","274082","869498","1976-02-13","492556000"
"549424","959954","324620","1984-06-05","623313000"
"744977","506485","783754","2003-10-01","335510000"
"696439","231055","518200","2008-10-03","629585000"
"932859","204781","410158","1989-06-02","859493000"
"327253","923529","869723","1990-12-03","442594000"
"618522","952808","228082","2006-12-04","625505000"
"515169","729861","557500","1990-11-02","942980000"
"619713","528045","356640","1980-11-10","826778000"
"320324","728329","575212","2008-03-03","496604000"
"122446","760714","293554","2007-09-06","965531000"
"892034","790237","123471","1999-02-27","164641000"
"798759","565634","433689","1987-07-27","480379000"
"619028","347011","511093","1974-07-16","21769000"
"495931","617291","162205","1989-12-12","770577000"
"461364","300718","970627","2019-10-19","475670000"
"449789","217550","427892","2004-10-01","573648000"
"629693","113358","442382","2009-07-07","973092000"
"268880","262681","756712","2005-09-26","656112000"
"859096","869202","360560","1971-02-05","565753000"
"164974","166880","567946","2018-01-25","184458000"
"199181","419810","264915","1992-09-21","997130000"
"476415","660643","501833","2017-01-07","101843000"
"274299","810069","769321","2003-07-19","338986000"
"587094","505615","563409","2008-03-22","395860000"
"681296","102133","218032","2008-04-24","469890000"
"385582","978484","985578","1990-09-22","931879000"
"447854","808516","154923","2009-09-04","322399000"
"246266","847064","358195","1999-12-01","819484000"
"909018","832115","370878","1973-07-03","659690000"
"600604","308871","326971","1972-02-16","260885000"
"441212","793586","390253","1982-10-24","29522000"
"858191","261990","307351","1987-02-16","236309000"
"687289","375615","676696","1986-10-23","179168000"
"485080","252909","855754","1996-10-25","885086000"
"584928","242544","625467","2008-09-30","705379000"
"406775","135210","721149","1984-10-21","20909000"
"347011","691443","254884","2007-05-16","404738000"
"235880","451816","503167","2012-05-27","58560000"
"373693","843710","378501","1997-03-07","858645000"
"790379","321837","533074","1972-03-14","899026000"
"848969","986845","317116","2000-05-21","494523000"
"429789","813990","585159","1999-10-10","973549000"
"130990","438179","487978","1980-03-08","55485000"
"151507","325206","958339","2014-09-03","566508000"
"815134","337965","755627","2010-01-09","151514000"
"885143","548856","352434","1980-07-01","54663000"
"799309","290249","304866","2013-07-12","167142000"
"674024","526012","560801","1977-02-10","747258000"
"455434","556889","141360","1992-11-08","608054000"
"598290","741902","117982","1992-06-03","79331000"
"933935","427138","597313","2009-05-02","889395000"
"174480","692308","226378","1970-06-27","267578000"
"274111","449990","909668","1990-05-21","352020000"
"248990","811775","587233","1989-10-10","186873000"
"598109","850367","979825","2019-08-07","980508000"
"652279","884598","887511","1998-05-07","560448000"
"137675","490261","762014","2010-09-16","329330000"
"304193","747850","868111","1992-05-14","652884000"
"417895","563842","469048","2008-01-13","274323000"
"120607","721159","495170","2006-05-24","753310000"
"887169","982001","875322","2003-05-14","676371000"
"485967","570361","928045","2009-08-05","786123000"
"265124","952215","753941","2001-07-19","935105000"
"814146","192916","799817","1987-09-03","941768000"
"175407","593511","904394","2017-08-30","941245000"
"563698","337003","747617","1995-07-09","139108000"
"359551","359291","104984","2019-08-15","980082000"
"464470","628559","996333","1986-10-10","675357000"
"305451","609078","322071","1984-07-24","894704000"
"182594","441928","564419","1977-02-22","106099000"
"737783","764153","646993","2011-09-30","731886000"
"518150","778427","785293","2012-04-25","142075000"
"789711","572906","560371","2011-01-24","177749000"
"996901","960160","275041","2018-06-27","658999000"
"238623","296662","807191","2005-08-26","195288000"
"830158","945207","760431","1972-12-01","481175000"
"635862","369401","499689","2000-01-22","39465000"
"472377","257347","240039","1979-08-20","686837000"
"887757","634120","700275","1992-03-24","165435000"
"168911","382781","107246","2007-05-09","560536000"
"650926","801011","954084","1994-09-27","477213000"
"518351","967124","844444","2017-12-07","813945000"
"468368","495469","827033","1993-11-11","613835000"
"743123","318482","892610","2010-07-12","63389000"
"217804","155416","153388","1997-04-11","462070000"
"889850","539833","594091","1970-12-27","296968000"
"547962","546114","358188","1984-07-30","251146000"
"198674","643476","944525","1987-11-08","872602000"
"649510","239360","151583","1975-09-26","135200000"
"514938","380004","329197","1981-05-10","583723000"
"520294","554547","620439","1985-03-02","416456000"
"634473","450947","634107","2016-11-25","730629000"
"873340","132712","788032","1995-02-19","437683000"
"444543","728135","222792","2004-01-10","561209000"
"767598","757608","164235","1983-11-17","913893000"
"360286","818386","611849","2010-07-13","166217000"
"835843","391851","804034","2007-03-01","346156000"
"899634","706812","208225","1997-05-17","626158000"
"221390","713414","169262","1992-09-26","787121000"
"901688","683549","280422","1990-05-30","679180000"
"379683","722481","902035","1973-08-16","68446000"
"488777","309089","206943","1989-11-15","276615000"
"689431","645084","100231","1985-08-05","37714000"
"898488","406298","547739","2002-02-22","220857000"
"494891","421746","810492","1986-09-02","91645000"
"147998","677042","244396","1985-05-27","277407000"
"542430","872326","690460","1975-02-18","681158000"
"395880","498202","910987","1979-08-07","10634000"
"166119","900823","240163","1970-04-01","603761000"
"661388","473636","294755","1984-11-16","789373000"
"822319","880065","497801","1974-02-16","819067000"
"721944","806941","606271","2015-10-08","323583000"
"519925","416597","845966","2008-01-14","624641000"
"382045","911234","543727","2009-07-13","470003000"
"459317","443948","761371","1979-09-16","158893000"
"324036","887174","696807","2018-03-25","599805000"
"497853","421096","681503","1999-02-15","258017000"
"214317","873782","752992","2002-05-19","401514000"
"290717","763680","431642","2005-11-21","477027000"
"984992","909415","216734","2004-08-12","425112000"
"630102","616218","534758","1985-06-20","583055000"
"511473","359551","574265","1991-01-04","164936000"
"291104","721662","963330","1984-06-20","581326000"
"785976","247865","877279","1987-02-17","726579000"
"642132","835391","658236","1984-11-08","555363000"
"518150","106785","753383","1981-08-25","803531000"
"864671","775308","972103","2008-08-07","156871000"
"180123","247452","897205","1991-05-17","420809000"
"104406","182097","597909","1993-11-18","479118000"
"255104","463191","438518","1994-07-06","928628000"
"273579","755652","375421","2011-09-22","578062000"
"159602","598290","534832","1977-05-04","968857000"
"274299","932225","786260","1992-06-01","387060000"
"123880","881382","487651","2013-10-31","462141000"
"327836","241099","827893","1978-10-31","304862000"
"315425","825824","549237","1975-07-23","601865000"
"451478","107586","680881","2011-09-06","8029000"
"967124","558514","153589","2001-06-11","240626000"
"128008","711731","215313","1983-02-24","733669000"
"311087","152022","478422","1997-10-03","159463000"
"467596","294952","251384","2010-09-06","114461000"
"229791","111813","195970","2011-01-09","741993000"
"471447","352235","934144","1972-01-15","558363000"
"294414","193692","260712","1995-10-30","121066000"
"299353","843949","570265","2008-01-02","836797000"
"145801","930371","952582","2002-04-29","533017000"
"788655","499038","197613","2010-03-10","351138000"
"805759","385063","295101","1973-10-27","747390000"
"993348","915746","626500","1981-07-26","203781000"
"939449","365339","730949","1980-06-30","74184000"
"160992","142544","941913","1988-10-09","335642000"
"430121","558775","678016","1976-04-29","247881000"
"418192","869202","195014","2016-11-03","884099000"
"928294","166123","417300","1972-05-21","142122000"
"707309","374880","324378","2003-07-06","300928000"
"103994","246971","816174","1995-04-13","612649000"
"242028","439442","827604","1999-05-24","257629000"
"814588","564930","627455","1993-08-29","476547000"
"660277","223595","844625","1971-02-10","333661000"
"395752","583652","375916","1996-02-28","784250000"
"159789","454417","631653","1997-05-11","179349000"
"233559","395045","248698","1999-04-11","608026000"
"715419","951160","455973","1987-05-09","171251000"
"169226","893926","611118","2016-08-19","627453000"
"898968","782710","111341","1975-05-03","58178000"
"911619","580711","310515","1973-11-15","260676000"
"242199","840411","168632","2006-05-20","662562000"
"887813","598109","589029","1978-09-07","967475000"
"948291","203750","531070","2001-05-26","54494000"
"834074","447141","149711","2001-01-31","880660000"
"478327","103173","489089","1975-07-14","428387000"
"616166","491589","512408","1989-01-21","571024000"
"480507","585429","808345","1984-11-11","200939000"
"592441","867901","616635","2016-12-04","721986000"
"187581","906384","443655","1995-12-23","803518000"
"584615","754391","218256","2011-10-15","961924000"
"410357","219195","521907","2001-11-20","129755000"
"712969","737755","331044","1985-01-20","88415000"
"487407","921478","575285","2006-09-10","304211000"
"264603","747079","631760","1975-08-04","62805000"
"190926","682982","135337","1986-04-25","242005000"
"688032","245933","205853","2018-01-28","291828000"
"404037","690541","344257","1974-06-12","683777000"
"314045","582531","631242","2008-06-08","939716000"
"911892","578162","354530","2012-07-29","843543000"
"769568","318739","451816","1970-03-30","180687000"
"626247","107978","326487","1977-06-25","125759000"
"134713","337930","211842","2015-06-15","661245000"
"203908","491596","624040","1998-09-18","776710000"
"577120","471489","402694","1998-07-09","522008000"
"884212","880065","386279","2009-08-12","350908000"
"441900","501274","518653","1995-07-01","282472000"
"844630","174458","386533","2008-06-11","605957000"
"576251","767328","314584","1972-06-02","666622000"
"982663","584104","350085","1991-02-10","861053000"
"979804","202296","682359","1984-04-16","470161000"
"999166","590078","467417","1983-11-02","534297000"
"929886","359145","974046","1972-07-28","381779000"
"166156","745864","526219","2015-08-03","532281000"
"888725","296890","378898","1997-02-09","183253000"
"314045","656502","583949","2009-01-26","731391000"
"227234","111152","818863","1972-08-16","292444000"
"334417","988743","762180","1998-09-12","875016000"
"735737","928440","336332","1995-07-24","279400000"
"591034","903862","480601","1971-05-01","412271000"
"731680","824076","165689","2009-10-13","549299000"
"327136","584098","517155","2016-05-23","599864000"
"802911","194493","823151","1984-09-10","122494000"
"549449","791499","549139","1979-11-18","516571000"
"837973","915094","701363","1978-02-17","495299000"
"343322","865674","280234","1986-12-01","675503000"
"238623","156181","860878","1988-05-08","116608000"
"586845","852606","754295","1983-12-28","213606000"
"545323","694537","224744","2004-01-19","331430000"
"492422","257847","419807","2018-05-04","593058000"
"341859","236093","613449","1974-01-28","546122000"
"743309","157858","915631","1996-10-02","531042000"
"655873","351326","186072","1990-07-23","539720000"
"309355","249935","977785","2004-04-15","753820000"
"620285","816542","179003","2002-10-25","670584000"
"498812","288415","918317","2009-10-13","893975000"
"798550","433198","731081","1979-04-21","896371000"
"766594","807063","888677","2005-06-08","477130000"
"437028","263449","901350","1994-03-17","716335000"
"544324","960537","523966","2019-06-15","5031000"
"370733","627246","912455","2014-09-23","381874000"
"246266","857996","397157","2016-11-15","959693000"
"605281","113409","457705","2006-08-05","475800000"
"529866","158963","185353","1971-05-21","658280000"
"256003","314717","125426","2004-04-22","428278000"
"484592","235186","716041","1999-11-27","31687000"
"782216","958522","434039","2012-09-05","3528000"
"930530","172688","667783","1982-10-23","26767000"
"437940","809687","160190","2018-05-13","313900000"
"118112","556919","759387","1994-05-28","170084000"
"470542","300167","889872","2013-10-12","255487000"
"915248","840794","593926","2001-04-09","719428000"
"140094","749833","131116","2011-08-07","189899000"
"713717","515169","436049","2016-05-21","418878000"
"157306","213097","630075","1982-01-06","360507000"
"217034","181824","252065","1986-07-04","523768000"
"631558","756298","640952","2000-12-17","160874000"
"742253","727987","170722","2011-08-26","203624000"
"102985","315402","419097","1971-12-08","699341000"
"602862","966002","295752","2004-01-05","895782000"
"181890","915620","285310","2003-10-24","427094000"
"870690","229821","614653","1971-05-29","793403000"
"142270","225828","671985","1977-08-17","466259000"
"212339","221904","935482","1983-05-25","715490000"
"123728","876215","749286","2007-10-13","900310000"
"783259","930615","622504","2001-11-08","873918000"
"762461","739928","619199","1974-04-03","957474000"
"939321","319921","110829","1997-07-19","602792000"
"288061","884796","512876","2002-03-02","22574000"
"149389","553162","806142","1999-05-24","350702000"
"883243","414887","274627","2006-06-03","808651000"
"948826","312853","473368","1994-05-18","461180000"
"631418","595130","558878","2001-03-25","565129000"
"642448","530830","268170","2014-12-08","447913000"
"433534","147774","666900","1977-07-25","654549000"
"288747","373355","595026","1993-05-21","575229000"
"326328","329114","396655","2006-08-13","644249000"
"628540","832032","407631","1981-01-01","47726000"
"398207","955367","979230","2000-01-11","463460000"
"298668","253319","344804","1993-06-09","782709000"
"418372","122446","284452","2007-04-19","157583000"
"402163","990601","883493","1999-02-25","733757000"
"909703","729159","784795","2014-04-21","325567000"
"572906","724945","527242","2019-12-24","970740000"
"213097","317883","873292","1984-12-17","592191000"
"600667","550309","684440","1982-01-28","286489000"
"830369","972572","496593","1972-03-16","881517000"
"612478","225301","501162","2007-12-14","713877000"
"141657","122577","849326","1985-09-21","765623000"
"911892","275044","448513","2010-02-12","562272000"
"460334","313259","564605","1997-12-24","46868000"
"500535","523211","868242","2000-12-17","812186000"
"783581","870690","351006","1995-09-12","920963000"
"833700","630871","247736","2014-07-23","654378000"
"420248","383101","250381","2010-02-08","357719000"
"750002","672783","785416","1975-11-20","234645000"
"951630","619392","171585","1979-01-24","447267000"
"147390","150380","142147","1974-12-27","698893000"
"404796","726903","556652","1996-01-22","185883000"
"435515","149389","529458","1976-04-23","741265000"
"898760","572986","645218","1970-07-30","716565000"
"846727","426458","537042","1986-10-17","712376000"
"166880","877763","194172","2001-10-20","846460000"
"437308","671146","126059","1982-08-14","637012000"
"356396","888725","111144","2005-12-24","677230000"
"934123","857323","984205","2015-11-25","725655000"
"198674","295929","543791","2014-01-23","612165000"
"226654","374786","581032","2017-03-06","322135000"
"498828","259872","962069","2000-10-18","186845000"
"604114","775556","333255","1997-04-21","628162000"
"363649","397755","269616","2008-12-19","43432000"
"637267","734859","620735","1992-12-26","731637000"
"736388","175360","403646","1988-06-19","528286000"
"141348","227782","122642","2010-08-01","185165000"
"114510","581890","340221","1971-02-13","668692000"
"639822","302650","858304","2014-02-18","919025000"
"773475","447597","819759","1993-01-11","874634000"
"499391","268414","161420","2010-03-23","660091000"
"979569","468888","689979","1977-04-09","474069000"
"753078","587617","280212","1973-08-15","95293000"
"942995","286344","774878","2012-12-17","280393000"
"213206","967844","835473","2010-04-13","191811000"
"546114","586186","983517","1999-06-12","610406000"
"160665","584675","941481","1997-03-17","205768000"
"714398","342920","673901","1985-09-17","743618000"
"192600","787720","651288","1994-02-21","500520000"
"956598","824791","618675","1971-04-19","466210000"
"173429","314507","816157","2002-06-27","641949000"
"686552","961439","953064","2016-09-04","907428000"
"497127","860622","109204","1976-09-27","119587000"
"706911","507667","360960","1971-08-11","118678000"
"972243","809687","242995","2019-09-30","275922000"
"919584","961947","596281","1971-06-30","120467000"
"491838","482259","958065","2004-05-06","143293000"
"228180","966309","828059","2002-08-24","128668000"
"574531","198714","289885","1992-05-25","282370000"
"315336","784361","933416","1972-04-01","234312000"
"399778","246971","228160","2003-10-12","527337000"
"254221","975625","958873","2002-02-15","681721000"
"666559","897457","867706","2012-05-07","53188000"
"962986","982782","866708","2015-05-27","377498000"
"159009","597014","321993","2006-06-05","87172000"
"324569","227782","797540","2017-11-28","518390000"
"703566","423376","571639","1973-05-02","270917000"
"300976","709656","353241","1989-09-19","24333000"
"837790","767116","634924","1990-09-07","795816000"
"476685","191490","387898","1979-08-14","289030000"
"645932","461089","426904","2017-06-15","8137000"
"668914","624702","678597","2012-05-15","419939000"
"828180","358035","699098","1980-09-02","678992000"
"928787","973823","782770","2002-07-16","262196000"
"992803","492641","365142","1992-03-15","549670000"
"523267","320384","308239","2002-01-19","678066000"
"961961","207823","637836","2002-05-05","807478000"
"159909","881382","681034","2007-12-21","734894000"
"635264","406353","949813","1984-01-06","698473000"
"398807","194791","461670","1985-06-23","222873000"
"601192","268111","226490","2005-12-27","878058000"
"513940","261625","845374","1995-02-23","419708000"
"635975","242687","863462","1996-01-08","282252000"
"387993","997645","733669","2019-01-15","693451000"
"310550","982380","632620","2017-07-29","486534000"
"490967","554568","273314","2019-02-01","154400000"
"600735","684639","173626","1995-07-11","834730000"
"704491","232613","813883","1995-07-19","900564000"
"626845","725041","971994","1990-05-16","557866000"
"848875","712326","581847","1990-11-29","906162000"
"455682","493119","982216","2002-10-01","11052000"
"398527","675061","793934","2004-08-04","844421000"
"294602","599689","845269","1981-05-05","274159000"
"116143","277516","404159","1995-02-16","933069000"
"341311","224889","726047","2012-10-11","849888000"
"557538","450765","613734","1987-09-01","324650000"
"661289","395492","285343","1987-04-15","668616000"
"664734","264130","847250","1977-06-26","131174000"
"755967","637267","763705","1977-11-07","360480000"
"225683","941129","437241","2019-08-23","834208000"
"737908","196713","165862","2002-12-05","231657000"
"977602","524978","529274","2019-10-01","241464000"
"399125","215583","395189","1974-07-10","408491000"
"173338","272415","736202","1989-09-24","557610000"
"168447","879113","686913","1981-08-12","305091000"
"629415","373355","710486","1971-12-11","168976000"
"614750","212312","110883","2006-02-24","386969000"
"547378","147090","635593","2000-05-15","710787000"
"448261","620649","118889","1984-04-09","105782000"
"837556","298668","233566","2006-05-22","877547000"
"601522","452842","470589","1980-05-21","682701000"
"607660","830867","963055","1991-10-20","440008000"
"245246","800478","423210","2006-01-15","645407000"
"320205","159730","508595","1991-02-02","311139000"
"147397","389617","494167","1978-01-19","767282000"
"549449","265243","205143","1980-12-30","981802000"
"451797","672264","643702","1985-10-01","978712000"
"632500","476381","108315","2003-07-03","216862000"
"752533","584620","453832","1998-01-02","557011000"
"635709","791306","283440","2009-02-09","779262000"
"700841","724157","905712","1980-03-03","645183000"
"879205","400778","193779","1994-10-29","981193000"
"260823","173457","798840","1990-05-27","362986000"
"498031","648424","499779","1984-06-10","579413000"
"739032","936900","480103","2012-06-12","732210000"
"307861","650054","712326","2010-10-20","197919000"
"351326","233160","822648","1996-11-11","778985000"
"930615","833116","439375","1993-12-19","696523000"
"206096","921069","231260","1973-10-23","366226000"
"564151","468093","363552","2000-04-25","490968000"
"152344","768726","694409","2001-09-16","869848000"
"954483","413239","594880","1997-09-04","296909000"
"530431","810630","380887","1971-10-01","523371000"
"885069","474934","972329","2001-04-14","594132000"
"328871","566792","425220","1997-07-28","39163000"
"147124","126753","404528","1988-03-04","336663000"
"617813","549894","153940","2017-10-18","564771000"
"942660","648047","163716","2004-02-18","718927000"
"192061","516906","488118","2006-01-04","692870000"
"258833","314028","427845","1983-06-06","328559000"
"908241","130549","647989","1998-10-31","142660000"
"582481","930579","310790","1976-07-22","989050000"
"267069","716748","672420","1994-01-08","101655000"
"550988","617000","462213","1977-10-17","388971000"
"311944","381119","147207","1981-12-02","722309000"
"689339","787281","581755","2014-12-18","785565000"
"447962","917802","991054","2018-12-09","385760000"
"743309","499355","202413","1996-05-02","140717000"
"767598","349021","402234","1973-12-06","982817000"
"648047","159044","397800","2007-09-20","80573000"
"769857","484687","137593","2001-07-06","749576000"
"226614","920337","916292","1982-01-30","20477000"
"328901","727987","644710","1985-04-27","13449000"
"298003","218685","911124","1993-12-05","553883000"
"544518","996192","624688","1991-04-29","760983000"
"737160","389491","755963","2006-08-30","701439000"
"934292","201959","352379","2008-04-16","923889000"
"493246","553792","763682","2003-12-14","692385000"
"808515","539536","423547","1989-04-03","691680000"
"357680","471385","853216","2010-04-04","10301000"
"603753","313710","358219","1996-10-20","981256000"
"344197","686778","869400","1975-05-28","512217000"
"498717","205920","950488","1993-10-17","627103000"
"206074","379862","544310","1998-10-30","724498000"
"630287","983848","146782","2003-09-08","860798000"
"871796","363649","834865","1995-12-17","779956000"
"286104","553841","156416","1987-08-26","242499000"
"435075","306218","264602","2018-02-25","873659000"
"444714","625650","955722","2011-06-04","856051000"
"842522","175407","723379","1976-11-04","6627000"
"944731","215258","346862","1991-10-29","845960000"
"821288","915620","691536","1985-05-16","822682000"
"319203","388491","626356","1974-01-24","466831000"
"391929","855500","982247","1980-10-09","609564000"
"928363","812453","873096","1990-12-30","375725000"
"494278","446311","203648","1983-11-20","590561000"
"810390","842522","829686","2019-03-01","986516000"
"939559","181647","448874","2005-06-04","455695000"
"920683","456027","338981","2006-08-12","97354000"
"928283","759264","986919","1973-05-07","411229000"
"402639","478401","176276","1998-07-22","761515000"
"153037","128819","926698","1971-10-21","941208000"
"834802","749430","830801","1992-01-08","497992000"
"200783","370651","706342","2009-12-18","250943000"
"492056","337276","420375","1977-04-21","56129000"
"465820","381382","912873","1993-10-07","376878000"
"336486","276249","189572","1976-11-29","568261000"
"629415","757396","219644","2003-11-08","925329000"
"792299","145757","377912","2009-01-17","658219000"
"593582","655997","461882","1979-02-16","484347000"
"798121","405776","807611","1972-08-22","65472000"
"410483","614366","308241","1991-02-18","243446000"
"306247","566213","244237","2010-01-23","607274000"
"971263","755303","495759","2012-12-12","552136000"
"423605","161790","541272","2002-09-15","753923000"
